DD/MM/YYYY HH:MM:SS,light(lux)
13/08/2018 15:53:02,3.407
13/08/2018 15:58:02,3.407
13/08/2018 16:03:02,3.407
13/08/2018 16:08:02,2.271
13/08/2018 16:13:02,4.542
13/08/2018 16:18:02,4.542
13/08/2018 16:23:02,2.271
13/08/2018 16:28:02,3.407
13/08/2018 16:33:02,2.271
13/08/2018 16:38:02,2.271
13/08/2018 16:43:02,2.271
13/08/2018 16:48:02,1.136
13/08/2018 16:53:02,1.136
13/08/2018 16:58:02,1.136
13/08/2018 17:03:02,1.136
13/08/2018 17:08:02,1.136
13/08/2018 17:13:02,1.136
13/08/2018 17:18:02,1.136
13/08/2018 17:23:02,2.271
13/08/2018 17:28:02,1.136
13/08/2018 17:33:02,1.136
13/08/2018 17:38:02,2.271
13/08/2018 17:43:02,1.136
13/08/2018 17:48:02,1.136
13/08/2018 17:53:02,1.136
13/08/2018 17:58:02,1.136
13/08/2018 18:03:02,2.271
13/08/2018 18:08:02,1.136
13/08/2018 18:13:02,1.136
13/08/2018 18:18:02,1.136
13/08/2018 18:23:02,1.136
13/08/2018 18:28:02,1.136
13/08/2018 18:33:02,1.136
13/08/2018 18:38:02,3.407
13/08/2018 18:43:02,1.136
13/08/2018 18:48:02,1.136
13/08/2018 18:53:02,1.136
13/08/2018 18:58:02,1.136
13/08/2018 19:03:02,1.136
13/08/2018 19:08:02,1.136
13/08/2018 19:13:02,1.136
13/08/2018 19:18:02,1.136
13/08/2018 19:23:02,1.136
13/08/2018 19:28:02,1.136
13/08/2018 19:33:02,3.407
13/08/2018 19:38:02,3.407
13/08/2018 19:43:02,15.898
13/08/2018 19:48:02,6.813
13/08/2018 19:53:02,1.136
13/08/2018 19:58:02,1.136
13/08/2018 20:03:02,1.136
13/08/2018 20:08:02,1.136
13/08/2018 20:13:02,1.136
13/08/2018 20:18:02,1.136
13/08/2018 20:23:02,1.136
13/08/2018 20:28:02,1.136
13/08/2018 20:33:02,1.136
13/08/2018 20:38:02,1.136
13/08/2018 20:43:02,1.136
13/08/2018 20:48:02,1.136
13/08/2018 20:53:02,1.136
13/08/2018 20:58:02,1.136
13/08/2018 21:03:02,1.136
13/08/2018 21:08:02,1.136
13/08/2018 21:13:02,1.136
13/08/2018 21:18:02,1.136
13/08/2018 21:23:02,1.136
13/08/2018 21:28:02,1.136
13/08/2018 21:33:02,1.136
13/08/2018 21:38:02,1.136
13/08/2018 21:43:02,1.136
13/08/2018 21:48:02,1.136
13/08/2018 21:53:02,1.136
13/08/2018 21:58:02,1.136
13/08/2018 22:03:02,1.136
13/08/2018 22:08:02,1.136
13/08/2018 22:13:02,1.136
13/08/2018 22:18:02,1.136
13/08/2018 22:23:02,1.136
13/08/2018 22:28:02,1.136
13/08/2018 22:33:02,1.136
13/08/2018 22:38:02,1.136
13/08/2018 22:43:02,1.136
13/08/2018 22:48:02,1.136
13/08/2018 22:53:02,1.136
13/08/2018 22:58:02,1.136
13/08/2018 23:03:02,1.136
13/08/2018 23:08:02,1.136
13/08/2018 23:13:02,1.136
13/08/2018 23:18:02,1.136
13/08/2018 23:23:02,1.136
13/08/2018 23:28:02,1.136
13/08/2018 23:33:02,1.136
13/08/2018 23:38:02,1.136
13/08/2018 23:43:02,1.136
13/08/2018 23:48:02,1.136
13/08/2018 23:53:02,1.136
13/08/2018 23:58:02,1.136
14/08/2018 00:03:02,1.136
14/08/2018 00:08:02,1.136
14/08/2018 00:13:02,1.136
14/08/2018 00:18:02,1.136
14/08/2018 00:23:02,1.136
14/08/2018 00:28:02,1.136
14/08/2018 00:33:02,1.136
14/08/2018 00:38:02,1.136
14/08/2018 00:43:02,1.136
14/08/2018 00:48:02,1.136
14/08/2018 00:53:02,1.136
14/08/2018 00:58:02,1.136
14/08/2018 01:03:02,1.136
14/08/2018 01:08:02,1.136
14/08/2018 01:13:02,1.136
14/08/2018 01:18:02,1.136
14/08/2018 01:23:02,1.136
14/08/2018 01:28:02,1.136
14/08/2018 01:33:02,1.136
14/08/2018 01:38:02,1.136
14/08/2018 01:43:02,1.136
14/08/2018 01:48:02,1.136
14/08/2018 01:53:02,1.136
14/08/2018 01:58:02,1.136
14/08/2018 02:03:02,1.136
14/08/2018 02:08:02,1.136
